"imdbid","title","budget","gross","release_date","directors","producers","actors"
,"Gangs of Wasseypur","18.4","70.0",2012-06-22,"Anurag Kashyap","Anurag Kashyap, Sunil Bohra","Huma Qureshi, Jaideep Ahlawat, Manoj Bajpayee, Nawazuddin Siddiqui, Pankaj Tripathi, Piyush Mishra, Rajkummar Rao, Richa Chadda, Tigmanshu Dhulia"
,"Gangs of Wasseypur","18.4","70.0",2012-08-08,"Anurag Kashyap","Anurag Kashyap, Sunil Bohra","Huma Qureshi, Jaideep Ahlawat, Manoj Bajpayee, Nawazuddin Siddiqui, Pankaj Tripathi, Piyush Mishra, Rajkummar Rao, Richa Chadda, Tigmanshu Dhulia"
,"Kadaikutty Singam","25.0","70.0",,"Pandiraj","Suriya","Arthana Binu, Bhanupriya, Deepa Shankar, Karthi, Priya Bhavani Shankar, Sathyaraj, Sayyeshaa, Shatru / Birodh, Soori"
"0072860","Deewaar",,"7.5E7",,"Yash Chopra","Gulshan Rai","Amitabh Bachchan, Neetu Kapoor, Nirupa Roy, Parveen Babi, Shashi Kapoor"
,"Desoddharakulu",,"7.5",,"C. S. Rao","U. Visweswar Rao","N. T. Rama Rao, Vanisri"
,"Chehre","25.0","7.5",,"Rumi Jaffery","Anand Pandit","Amitabh Bachchan, Annu Kapoor, Dhritiman Chatterjee, Emraan Hashmi, Krystle D'Souza, Raghubir Yadav, Rhea Chakraborty, Samir Soni, Siddhanth Kapoor"
,"Kanchanjangha",,"7.0",,"Zubeen Garg","Zubeen Garg","Pabitra Rabha, Zubeen Garg"
,"C/o Kancharapalem","44.0","7.0",,"Venkatesh Maha","Rana Daggubati",""
"0077451","Don (1978 film)","70.0","7.0",1978-05-12,"Chandra Barot","Nariman A. Irani","Amitabh Bachchan, Pran, Zeenat Aman"
,"Ishaqzaade","16.0","67.64",,"Habib Faisal","Aditya Chopra","Arjun Kapoor, Parineeti Chopra"
,"Hridayam","5.0","67.3",,"Vineeth Sreenivasan","Visakh Subramaniam",""
,"2.0 (film)",,"655.81",,"Shankar Shanmugam","Subaskaran Allirajah","Akshay Kumar, Amy Jackson, Rajinikanth"
,"Raju Gari Gadhi (film series)","32.0","65.79",2019-10-18,"Ohmkar","Potluri Vara Prasad, Sai Korrapati",""
,"Raju Gari Gadhi (film series)","32.0","65.79",2017-10-13,"Ohmkar","Potluri Vara Prasad, Sai Korrapati",""
,"Raju Gari Gadhi (film series)","32.0","65.79",2015-10-16,"Ohmkar","Potluri Vara Prasad, Sai Korrapati",""
,"Himmatwala (2013 film)","68.0","65.7",,"Sajid Khan","Ronnie Screwvala, Vashu Bhagnani","Adhyayan Suman, Ajay Devgn, Anil Dhawan, Leena Jumani, Mahesh Manjrekar, Paresh Rawal, Tamannaah, Zarina Wahab"
,"Oppam",,"65.0",,"Priyadarshan","Antony Perumbavoor","Anusree, Mohanlal, Nedumudi Venu, Samuthirakani"
,"Shamshera","150.0","63.58",,"Karan Malhotra","Aditya Chopra","Ranbir Kapoor, Sanjay Dutt, Vaani Kapoor"
"0083820","Desh Premee",,"63.0",,"Manmohan Desai","Subhash Desai","Amitabh Bachchan, Amjad Khan, Hema Malini, Kader Khan, Navin Nischol, Parikshit Sahni, Parveen Babi, Prem Chopra, Shammi Kapoor, Sharmila Tagore, Uttam Kumar"
"4832640","Sultan (2016 film)",,"623.33",,"Ali Abbas Zafar","Aditya Chopra","Anushka Sharma, Salman Khan"
,"Baar Baar Dekho","53.0","62.67",,"Nitya Mehra","Farhan Akhtar, Karan Johar, Ritesh Sidhwani","Katrina Kaif, Ram Kapoor, Sarika, Sayani Gupta, Sidharth Malhotra, Taha Shah Badussha"
,"Bachna Ae Haseeno","23.0","61.57",,"Siddharth Anand","Aditya Chopra","Bipasha Basu, Deepika Padukone, Minissha Lamba, Ranbir Kapoor"
,"Liger (film)","90.0","60.8",,"Puri Jagannadh","Karan Johar, Puri Jagannadh",""
